'40/1/3/pictures/Window above the altar in the Lady Chapel at Winchester Cathedral - geograph.org.uk - 1163821.jpg', 1213
'40/1/3/pictures/Winchester Cathedral 12.JPG', 2367
'40/1/pictures/Winchester cathedral 021.JPG', 36
'40/1/3/pictures/Cathedral Window.jpg', 1594
'40/1/pictures/Winchester cathedral 017.JPG', 604
'40/1/pictures/The altar within the Lady Chapel at Winchester Cathedral - geograph.org.uk - 1163805.jpg', 370
'40/1/pictures/Winchester cathedral 020.JPG', 170
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 188479.jpg', 1014
'40/0/pictures/Ice Rink at Winchester Christmas Market - geograph.org.uk - 1075053.jpg', 286
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 1315377.jpg', 2039
'40/0/pictures/Temporary outdoor ice rink, Winchester Cathedral - geograph.org.uk - 636534.jpg', 76
'40/0/pictures/Sunset on the Tower - geograph.org.uk - 1075060.jpg', 630
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 188484.jpg', 32
'40/0/pictures/WinchesterCath-wyrdlight-buttress.jpg', 213
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 24725.jpg', 43
'40/0/pictures/South facade - Winchester Cathedral - geograph.org.uk - 1162934.jpg', 287
'40/0/pictures/Fine example of buttresses - Winchester - geograph.org.uk - 1162844.jpg', 820
'40/0/pictures/Winchester Cathedral -exterior wall-21July2008.jpg', 1709
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 1162947.jpg', 1204
'40/0/pictures/Winchester Cathedral Nave Windows.JPG', 900
'40/0/pictures/Cathedral doorway - south facade - geograph.org.uk - 1162837.jpg', 216
'40/0/pictures/Winchester Cathedral SW.jpg', 132
'40/0/pictures/Winchester Cathedral, south side - geograph.org.uk - 1221213.jpg', 53
'40/0/pictures/Winchester Cathedral in Winter Afternoon Light - panoramio.jpg', 616
'40/0/pictures/Winchester, UK - panoramio (3).jpg', 127
'40/0/pictures/Winchester Cathedral 2012 01.jpg', 1651
'40/0/pictures/Winchester Cathedral 2004.JPG', 536
'40/0/pictures/Winchester Cathedral -from NW-21July2008.jpg', 1156
'40/0/pictures/Winchester Cathedral - panoramio.jpg', 1676
'40/0/pictures/Winchester Cathedral - panoramio (1).jpg', 1241
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 345137.jpg', 392
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 27819.jpg', 450
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 188467.jpg', 872
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 1557096.jpg', 172
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 1328672.jpg', 349
'40/0/pictures/IMGP0191 - Winchester Cathedral - Kirche - 20050322.jpg', 184
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 1315332.jpg', 37
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 1315325.jpg', 198
'40/0/pictures/Cathédrale Winchester.jpg', 883
'40/0/pictures/North transept - geograph.org.uk - 1634311.jpg', 307
'40/0/pictures/Winchester Cathedral (8062001986).jpg', 869
'40/0/pictures/Winchester - Winchester Cathedral - geograph.org.uk - 1159562.jpg', 132
'40/0/pictures/Cathedral west end - geograph.org.uk - 1634299.jpg', 1237
'40/0/pictures/Winchester - Winchester Cathedral - geograph.org.uk - 1159555.jpg', 169
'40/0/pictures/Winchester - Catedral.JPG', 186
'40/0/pictures/Cathedral north side - geograph.org.uk - 1634310.jpg', 128
'40/0/pictures/WinCath30Je6-4836wiki.jpg', 135
'40/0/pictures/Cathedral north side - geograph.org.uk - 1634306.jpg', 284
'40/0/pictures/1095509-Cathedral Church of the Holy Trinity (4).jpg', 721
'40/0/pictures/Winchester cathedral front.jpeg', 404
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 1315328.jpg', 1954
'40/0/pictures/Cathedral west end - geograph.org.uk - 1634318.jpg', 30
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 338531.jpg', 471
'40/0/pictures/Собор - panoramio (2).jpg', 1089
'40/0/1/pictures/Monument to the Fallen Soldier.jpg', 1768
'40/0/pictures/No leaves, a few visitors and a grand building - geograph.org.uk - 1163842.jpg', 633
'40/0/pictures/Winchester Cathedral -west front-21July2008.jpg', 1355
'40/0/1/pictures/Winchester Cathedral after snow - geograph.org.uk - 1146166.jpg', 291
'40/0/pictures/Winchester cathedral from Hampshire County Council HQ - taken in 2009.jpg', 45
'40/0/1/pictures/The King's Royal Rifle Corps Memorial at Winchester Cathedral.jpg', 92
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 1736947.jpg', 116
'40/0/0/pictures/Winchester Cathedral - geograph.org.uk - 1315328.jpg', 1955
'40/0/pictures/IMGP0192 - Winchester Cathedral - Kirche - 20050322.jpg', 251
'40/0/pictures/Winchester cathedral 04.JPG', 265
'40/0/0/pictures/Winchester -Front Of Winchester Cathedral - geograph.org.uk - 1159583.jpg', 1257
'40/0/pictures/Holy Trinity Cathedral, Winchester - geograph.org.uk - 1504345.jpg', 1887
'40/0/0/pictures/Cathedral west end - geograph.org.uk - 1634302.jpg', 1295
'40/0/1/pictures/IMGP0227 - Winchester Cathedral - Kirche - 20050322.jpg', 2200
'40/0/pictures/Winchester cathedral, hampshire, england, united kingdom.JPG', 1389
'40/0/0/pictures/Cathedral west end - geograph.org.uk - 1634299.jpg', 1237
'40/0/1/pictures/IMGP0227 - Winchester Cathedral - Kirche - 20050322-retouch.jpg', 2011
'40/0/pictures/Cathedral Precinct - Winchester - geograph.org.uk - 921616.jpg', 579
'40/0/pictures/IMGP0227 - Winchester Cathedral - Kirche - 20050322.jpg', 2200
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 720.jpg', 750
'40/0/pictures/WinchesterCathedral-north-wyrdlight.jpg', 565
'40/0/0/pictures/Winchester Cathedral.jpg', 1324
'40/0/pictures/Winchester -Front Of Winchester Cathedral - geograph.org.uk - 1159583.jpg', 1257
'40/0/pictures/Winchester Cathedral - geograph.org.uk - 1737002.jpg', 66
